# cli-gate baseline — generated by x3d_cli_gate --write-baseline
# validate: 40/200 agree  convert: 160/160 pass
check_key	result
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/CAD/CadDesignPatternExampleBushing.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/CAD/CadDesignPatternExampleBushing.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/DistributedInteractiveSimulation/NetworkedCamera.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/DistributedInteractiveSimulation/NetworkedCamera.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/MarsLOD017.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/MarsLOD017.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/SriCampus038.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/SriCampus038.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/SriCampus118.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/SriCampus118.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Medical/BonesRightFoot.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Medical/BonesRightFoot.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Security/HelloWorldSignedDecrypted.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/Security/HelloWorldSignedDecrypted.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Basic/UniversalMediaMaterials/SummerExamples.x3d:xml->json	PASS
